,Unnamed: 0,Submission ID,Title,Acceptance Status,Track,Authors,Main Contact Affiliation,Submission Type,ARRLink,sha1,url
318,318,2856,Improving the Factual Correctness of Radiology Report Generation with Semantic Rewards,Accept-Findings,Natural Language Generation,"Jean-Benoit Delbrouck, Pierre Chambon, Christian Bluethgen, Emily Tsai, Omar Almusa and Curtis Langlotz",Stanford University,Regular Long Paper,,9a3ecfc83662476cd6d7a3f41ca628e9d8d9f9fd,https://www.semanticscholar.org/reader/9a3ecfc83662476cd6d7a3f41ca628e9d8d9f9fd?experiments=&features=reader_skimming%3Atrue
320,320,2897,HumSet: Dataset of Multilingual Information Extraction and Classification for Humanitarian Crises Response,Accept-Findings,Resources and Evaluation,"Selim Fekih, Nicolo' Tamagnone, Benjamin Minixhofer, Ranjan Shrestha, Ximena Contla, Ewan Oglethorpe and Navid Rekabsaz",Data Friendly Space,Regular Short Paper,,199b2d3e76c8237e38572f1b74dc2081723db526,https://www.semanticscholar.org/reader/199b2d3e76c8237e38572f1b74dc2081723db526?experiments=&features=reader_skimming%3Atrue
321,321,2901,Viterbi Decoding of Directed Acyclic Transformer for Non-Autoregressive Machine Translation,Accept-Findings,Machine Translation,"Chenze Shao, Zhengrui Ma and Yang Feng","Institute of Computing Technology, University of Chinese Academy of Sciences",Regular Short Paper,,75760fee314a73339b13fd8aa3686964396a54af,https://www.semanticscholar.org/reader/75760fee314a73339b13fd8aa3686964396a54af?experiments=&features=reader_skimming%3Atrue
323,323,2920,Realistic Data Augmentation Framework for Enhancing Tabular Reasoning,Accept-Findings,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Dibyakanti Kumar, Vivek Gupta, Soumya Sharma and Shuo Zhang","School of Computing, University of Utah",Regular Long Paper,,2a5de8118bf4871b13197d85d8858d875a6106a6,https://www.semanticscholar.org/reader/2a5de8118bf4871b13197d85d8858d875a6106a6?experiments=&features=reader_skimming%3Atrue
325,325,2931,The Curious Case of Absolute Position Embeddings,Accept-Findings,Language Modeling and Analysis of Language Models,"Koustuv Sinha, Amirhossein Kazemnejad, Siva Reddy, Joelle Pineau, Dieuwke Hupkes and Adina Williams",McGill University / Mila / FAIR,Regular Short Paper,,97833e2aa0da5240e62436373b58af988a4ab6ab,https://www.semanticscholar.org/reader/97833e2aa0da5240e62436373b58af988a4ab6ab?experiments=&features=reader_skimming%3Atrue
328,328,2951,Thinking about GPT-3 In-Context Learning for Biomedical IE? Think Again,Accept-Findings,Information Extraction,"Bernal Jimenez Gutierrez, Nikolas McNeal, Clayton B. Washington, You Chen, Lang Li, Huan Sun and Yu Su",The Ohio State University,Regular Long Paper,,cfc12c38a4d848ff3c4225488a2c72e7d4300f4b,https://www.semanticscholar.org/reader/cfc12c38a4d848ff3c4225488a2c72e7d4300f4b?experiments=&features=reader_skimming%3Atrue
336,336,3037,Generating Textual Adversaries with Minimal Perturbation,Accept-Findings,Machine Learning for NLP,"Xingyi Zhao, Lu Zhang, Depeng Xu and Shuhan Yuan",Utah State University,Regular Short Paper,,064ccc5c41e13ab468d8ce0569333c8acd4f641a,https://www.semanticscholar.org/reader/064ccc5c41e13ab468d8ce0569333c8acd4f641a?experiments=&features=reader_skimming%3Atrue
339,339,3046,Empathetic Dialogue Generation via Sensitive Emotion Recognition and Sensible Knowledge Selection,Accept-Findings,Natural Language Generation,"Lanrui Wang, Jiangnan Li, Zheng Lin, Fandong Meng, Chenxu Yang, Weiping Wang and Jie Zhou",Beijing University of Posts and Telecommunications,Regular Long Paper,,7f6a790ad82960cfb282542efe0fac1a8db0e9dd,https://www.semanticscholar.org/reader/7f6a790ad82960cfb282542efe0fac1a8db0e9dd?experiments=&features=reader_skimming%3Atrue
340,340,3077,Joint Multilingual Knowledge Graph Completion and Alignment,Accept-Findings,Information Extraction,"Vinh Tong, Dat Quoc Nguyen, Trung Thanh Huynh, Tam Thanh Nguyen, Quoc Viet Hung Nguyen and Mathias Niepert","University of Stuttgart, Germany",Regular Long Paper,,53802c3e16f944b71b5d59d9572bbd4bf5ee3c9e,https://www.semanticscholar.org/reader/53802c3e16f944b71b5d59d9572bbd4bf5ee3c9e?experiments=&features=reader_skimming%3Atrue
342,342,3092,Readability Controllable Biomedical Document Summarization,Accept-Findings,Summarization,"Zheheng Luo, Qianqian Xie and Sophia Ananiadou",University of Manchester,Regular Long Paper,,de0d1ad3380b0e99ada82b19ba15042e44be37db,https://www.semanticscholar.org/reader/de0d1ad3380b0e99ada82b19ba15042e44be37db?experiments=&features=reader_skimming%3Atrue
344,344,3109,Generalization Differences between End-to-End and Neuro-Symbolic Vision-Language Reasoning Systems,Accept-Findings,"Speech, Vision, Robotics, Multimodal Grounding","Wang Zhu, Jesse Thomason and Robin Jia",University of Southern California,Regular Long Paper,,59daaebe48d5d23e7ea682e2ddee0ae171c87a7e,https://www.semanticscholar.org/reader/59daaebe48d5d23e7ea682e2ddee0ae171c87a7e?experiments=&features=reader_skimming%3Atrue
345,345,3111,Learning to Model Multimodal Semantic Alignment for Story Visualization,Accept-Findings,"Speech, Vision, Robotics, Multimodal Grounding",Bowen Li and Thomas Lukasiewicz,University of Oxford,Regular Short Paper,,6be8bc2b5fecd2fc361799980800e74fb2e38ac4,https://www.semanticscholar.org/reader/6be8bc2b5fecd2fc361799980800e74fb2e38ac4?experiments=&features=reader_skimming%3Atrue
346,346,3131,SciFact-Open: Towards open-domain scientific claim verification,Accept-Findings,NLP Applications,"David Wadden, Kyle Lo, Bailey E. Kuehl, Arman Cohan, Iz Beltagy, Lucy Lu Wang and Hannaneh Hajishirzi",University of Washington,Regular Long Paper,,f13b251c8346bc3be19b71b840449831e9716999,https://www.semanticscholar.org/reader/f13b251c8346bc3be19b71b840449831e9716999?experiments=&features=reader_skimming%3Atrue
347,347,3133,COMET-QE and Active Learning for Low-Resource Machine Translation,Accept-Findings,Machine Translation,Everlyn Chimoto and Bruce Bassett,University of Cape Town,Regular Short Paper,,40b2b5ea3fb43874fff960723000f43c2174eb7d,https://www.semanticscholar.org/reader/40b2b5ea3fb43874fff960723000f43c2174eb7d?experiments=&features=reader_skimming%3Atrue
350,350,3167,Learning to Infer from Unlabeled Data: A Semi-supervised Learning Approach for Robust Natural Language Inference,Accept-Findings,"Semantics: Lexical, Sentence level, Textual Inference and Other areas",Mobashir Sadat and Cornelia Caragea,University of Illinois at Chicago,Regular Long Paper,,20b76171bf81c684a3a877b72af5f9a673c46fd6,https://www.semanticscholar.org/reader/20b76171bf81c684a3a877b72af5f9a673c46fd6?experiments=&features=reader_skimming%3Atrue
351,351,3169,Unsupervised Text Deidentification,Accept-Findings,Unsupervised and Weakly-Supervised Methods in NLP,"John Morris, Justin Chiu, Ramin Zabih and Alexander Rush",Cornell Tech,Regular Long Paper,,c3e846a906f2bd7cb1ac39068a4f95e7adc1818b,https://www.semanticscholar.org/reader/c3e846a906f2bd7cb1ac39068a4f95e7adc1818b?experiments=&features=reader_skimming%3Atrue
352,352,3178,Federated Continual Learning for Text Classification via Selective Inter-client Transfer,Accept-Findings,Machine Learning for NLP,"Yatin Chaudhary, Pranav Rai, Matthias Schubert, Hinrich Schütze and Pankaj Gupta",DRIMCo GmbH,Regular Long Paper,,2889eb10fc8b5ea6c70dc76849e30c655853d6e2,https://www.semanticscholar.org/reader/2889eb10fc8b5ea6c70dc76849e30c655853d6e2?experiments=&features=reader_skimming%3Atrue
353,353,3179,DOROTHIE: Spoken Dialogue for Handling Unexpected Situations in Interactive Autonomous Driving Agents,Accept-Findings,Dialogue and Interactive Systems,"Ziqiao Ma, Benjamin VanDerPloeg, Cristian-Paul Bara, Huang Yidong, Eui-In Kim, Felix Gervits, Matthew Marge and Joyce Chai",University of Michigan,Regular Long Paper,,3dbe1b13c7fb234a72861e1614a188b5a5fbbef2,https://www.semanticscholar.org/reader/3dbe1b13c7fb234a72861e1614a188b5a5fbbef2?experiments=&features=reader_skimming%3Atrue
354,354,3183,"He Said, She Said: Style Transfer for Shifting the Perspective of Dialogues",Accept-Findings,Natural Language Generation,"Amanda Bertsch, Graham Neubig and Matthew R. Gormley",Carnegie Mellon University,Regular Long Paper,,9eea41c0341e15e97062dd771515378cfba29019,https://www.semanticscholar.org/reader/9eea41c0341e15e97062dd771515378cfba29019?experiments=&features=reader_skimming%3Atrue
356,356,3195,KPDROP: Improving Absent Keyphrase Generation,Accept-Findings,Information Extraction,"Jishnu Ray Chowdhury, Seo Yeon Park, Tuhin Kundu and Cornelia Caragea","University of Illinois, at Chicago",Regular Long Paper,,13ee5541d2197cab6bd76e519d19ab232bdf400d,https://www.semanticscholar.org/reader/13ee5541d2197cab6bd76e519d19ab232bdf400d?experiments=&features=reader_skimming%3Atrue
358,358,3216,EnDex: Evaluation of Dialogue Engagingness at Scale,Accept-Findings,Resources and Evaluation,"Guangxuan Xu, Ruibo Liu, Fabrice Harel-Canada, Nischal Reddy Chandra and Nanyun Peng","University of California, Los Angeles",Regular Short Paper,,0a722a62375b5542e838d04fbefd27e1917328bd,https://www.semanticscholar.org/reader/0a722a62375b5542e838d04fbefd27e1917328bd?experiments=&features=reader_skimming%3Atrue
359,359,3238,LOPS: Learning Order Inspired Pseudo-Label Selection for Weakly Supervised Text Classification,Accept-Findings,Unsupervised and Weakly-Supervised Methods in NLP,"Dheeraj Mekala, Chengyu Dong and Jingbo Shang",University of California San Diego,Regular Long Paper,,a1ccfb5bf4a5666b0f5dd4c1d81d2aa176d74202,https://www.semanticscholar.org/reader/a1ccfb5bf4a5666b0f5dd4c1d81d2aa176d74202?experiments=&features=reader_skimming%3Atrue
360,360,3241,"Train Flat, Then Compress: Sharpness-Aware Minimization Learns More Compressible Models",Accept-Findings,Efficient Methods for NLP,"Clara Na, Sanket Vaibhav Mehta and Emma Strubell",Carnegie Mellon University,Regular Long Paper,,294a315631d8a76697ecc9fd9cd0ed4bc5ce90fd,https://www.semanticscholar.org/reader/294a315631d8a76697ecc9fd9cd0ed4bc5ce90fd?experiments=&features=reader_skimming%3Atrue
364,364,3268,Structurally Diverse Sampling for Sample-Efficient Training and Comprehensive Evaluation,Accept-Findings,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Shivanshu Gupta, Sameer Singh and Matt Gardner",University of California Irvine,Regular Long Paper,,6913d3f23d13416407b7fcd03bea3231b268a20a,https://www.semanticscholar.org/reader/6913d3f23d13416407b7fcd03bea3231b268a20a?experiments=&features=reader_skimming%3Atrue
365,365,3280,Unsupervised Multi-Granularity Summarization,Accept-Findings,Summarization,"Ming Zhong, Yang Liu, Suyu Ge, Yuning Mao, Yizhu Jiao, Xingxing Zhang, Yichong Xu, Chenguang Zhu, Michael Zeng and Jiawei Han",University of Illinois at Urbana-Champaign,Regular Long Paper,,678042b8603958aef11d5359cc638c7bb24c0549,https://www.semanticscholar.org/reader/678042b8603958aef11d5359cc638c7bb24c0549?experiments=&features=reader_skimming%3Atrue
370,370,3356,Distillation-Resistant Watermarking for Model Protection in NLP,Accept-Findings,Ethics,"Xuandong Zhao, Lei Li and Yu-Xiang Wang",UC Santa Barbara,Regular Long Paper,,c7bdd6c7b786fba60ff8a6e656cc14c3f7b57b78,https://www.semanticscholar.org/reader/c7bdd6c7b786fba60ff8a6e656cc14c3f7b57b78?experiments=&features=reader_skimming%3Atrue
371,371,3358,NeuroCounterfactuals: Beyond Minimal-Edit Counterfactuals for Richer Data Augmentation,Accept-Findings,Machine Learning for NLP,"Phillip Howard, Gadi Singer, Vasudev Lal, Yejin Choi and Swabha Swayamdipta",Intel Labs,Regular Long Paper,,39880b887c19ae80d71643b37d6fc89aba8ec0c4,https://www.semanticscholar.org/reader/39880b887c19ae80d71643b37d6fc89aba8ec0c4?experiments=&features=reader_skimming%3Atrue
374,374,3369,BioNLI: Generating a Biomedical NLI Dataset Using Lexico-semantic Constraints for Adversarial Examples,Accept-Findings,Resources and Evaluation,"Mohaddeseh Bastan, Mihai Surdeanu and Niranjan Balasubramanian",Stony Brook University,Regular Long Paper,,acd076a09b49e16d71b60ee919b47945d20ac1da,https://www.semanticscholar.org/reader/acd076a09b49e16d71b60ee919b47945d20ac1da?experiments=&features=reader_skimming%3Atrue
378,378,3388,Finding Memo: Extractive Memorization in Constrained Sequence Generation Tasks,Accept-Findings,Machine Translation,Vikas Raunak and Arul Menezes,Microsoft,Regular Short Paper,,6ab78343ab82fa9d7baa68027f9f7e8cd9863737,https://www.semanticscholar.org/reader/6ab78343ab82fa9d7baa68027f9f7e8cd9863737?experiments=&features=reader_skimming%3Atrue
379,379,3392,SALTED: A Framework for SAlient Long-tail Translation Error Detection,Accept-Findings,Machine Translation,"Vikas Raunak, Matt Post and Arul Menezes",Microsoft,Regular Long Paper,,a349bcb86ba80ef543e5deaadbb7e0ff5daef5e7,https://www.semanticscholar.org/reader/a349bcb86ba80ef543e5deaadbb7e0ff5daef5e7?experiments=&features=reader_skimming%3Atrue
380,380,3397,Discord Questions: A Computational Approach To Diversity Analysis in News Coverage,Accept-Findings,NLP Applications,"Philippe Laban, Chien-Sheng Wu, Lidiya Murakhovs'ka, Xiang Chen and Caiming Xiong",Salesforce Research,Regular Long Paper,,ef194ab52031cde7c6119c7701499c1fd9bc9d65,https://www.semanticscholar.org/reader/ef194ab52031cde7c6119c7701499c1fd9bc9d65?experiments=&features=reader_skimming%3Atrue
382,382,3413,Challenges and Opportunities in Information Manipulation Detection: An Examination of Wartime Russian Media,Accept-Findings,Ethic Concerns:Theme Track,"Chan Young Park, Julia Mendelsohn, Anjalie Field and Yulia Tsvetkov",Carnegie Mellon University,Regular Long Paper,,b616154578751e156b21561e1a5d5ed833a3506f,https://www.semanticscholar.org/reader/b616154578751e156b21561e1a5d5ed833a3506f?experiments=&features=reader_skimming%3Atrue
383,383,3417,Disentangling Task Relations for Few-shot Text Classification via Self-Supervised Hierarchical Task Clustering,Accept-Findings,Machine Learning for NLP,"Juan Zha, Zheng Li, Ying Wei and Yu Zhang",USC,Regular Long Paper,,26527955d4603f4af05610453228ebfc2404b269,https://www.semanticscholar.org/reader/26527955d4603f4af05610453228ebfc2404b269?experiments=&features=reader_skimming%3Atrue
384,384,3427,XRICL: Cross-lingual Retrieval-Augmented In-Context Learning for Cross-lingual Text-to-SQL Semantic Parsing,Accept-Findings,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Peng Shi, Rui Zhang, He Bai and Jimmy Lin",University of Waterloo,Regular Long Paper,,38e1a9c5599fc7597b7c5ffd37951ba5f528094c,https://www.semanticscholar.org/reader/38e1a9c5599fc7597b7c5ffd37951ba5f528094c?experiments=&features=reader_skimming%3Atrue
392,392,3470,Open-domain Question Answering via Chain of Reasoning over Heterogeneous Knowledge,Accept-Findings,Question Answering,"Kaixin Ma, Hao Cheng, Xiaodong Liu, Eric Nyberg and Jianfeng Gao",Carnegie Mellon University,Regular Long Paper,,fff24425c8eaa3af4422261b9e108374ded678f0,https://www.semanticscholar.org/reader/fff24425c8eaa3af4422261b9e108374ded678f0?experiments=&features=reader_skimming%3Atrue
393,393,3472,Detecting Languages Unintelligible to Multilingual Models through Local Structure Probes,Accept-Findings,Multilinguality,"Louis Clouatre, Prasanna Parthasarathi, Amal Zouaq and Sarath Chandar",Ecole Polytechnique de Montreal,Regular Long Paper,,fc78d652c4d395ba2737ab0406bc53fd025d4aad,https://www.semanticscholar.org/reader/fc78d652c4d395ba2737ab0406bc53fd025d4aad?experiments=&features=reader_skimming%3Atrue
394,394,3479,Cards Against AI: Predicting Humor in a Fill-in-the-blank Party Game,Accept-Findings,Ethic Concerns:Computational Social Science and Cultural Analytics,Dan Ofer and Dafna Shahaf,The Hebrew University of Jerusalem,Regular Short Paper,,b79bbf6404f02eed49d24799205c8e45c0f8bef6,https://www.semanticscholar.org/reader/b79bbf6404f02eed49d24799205c8e45c0f8bef6?experiments=&features=reader_skimming%3Atrue
395,395,3481,Open-Vocabulary Argument Role Prediction For Event Extraction,Accept-Findings,Information Extraction,"Yizhu Jiao, Sha Li, Yiqing Xie, Ming Zhong, Heng Ji and Jiawei Han",University of Illinois Urbana-Champaign,Regular Long Paper,,433e052ed37dd7fd43bf1bfd9e07419deb690814,https://www.semanticscholar.org/reader/433e052ed37dd7fd43bf1bfd9e07419deb690814?experiments=&features=reader_skimming%3Atrue
400,400,3514,CrisisLTLSum: A Benchmark for Local Crisis Event Timeline Extraction and Summarization,Accept-Findings,Resources and Evaluation,"Hossein Rajaby Faghihi, Bashar Alhafni, Ke Zhang, Shihao Ran, Joel Tetreault and Alejandro Jaimes",Michigan State University,Regular Long Paper,,bfb31e3572c37f4de88c89ab5c2acebf67c43a9e,https://www.semanticscholar.org/reader/bfb31e3572c37f4de88c89ab5c2acebf67c43a9e?experiments=&features=reader_skimming%3Atrue
401,401,3528,Prompt-Tuning Can Be Much Better Than Fine-Tuning on Cross-lingual Understanding With Multilingual Language Models,Accept-Findings,Multilinguality,"Lifu Tu, Caiming Xiong and Yingbo Zhou",Salesforce AI Research,Regular Short Paper,,0f8806fb1c28733e59c4311479dc7cc916524919,https://www.semanticscholar.org/reader/0f8806fb1c28733e59c4311479dc7cc916524919?experiments=&features=reader_skimming%3Atrue
403,403,3533,EtriCA: Event-Triggered Context-Aware Story Generation Augmented by Cross Attention,Accept-Findings,Natural Language Generation,"Chen Tang, Chenghua Lin, Henglin Huang, Frank Guerin and Zhihao Zhang","Department of Computer Science, University of Surrey",Regular Long Paper,,58b8da3821affc426895a85dbac5556322e6e2a9,https://www.semanticscholar.org/reader/58b8da3821affc426895a85dbac5556322e6e2a9?experiments=&features=reader_skimming%3Atrue
405,405,3544,Effective Pretraining Objectives for Transformer-based Autoencoders,Accept-Findings,Machine Learning for NLP,"Luca Di Liello, Matteo Gabburo and Alessandro Moschitti",University of Trento,Regular Long Paper,,3a4f61e87d8d6e24e5dbdbe59483d6a250a64607,https://www.semanticscholar.org/reader/3a4f61e87d8d6e24e5dbdbe59483d6a250a64607?experiments=&features=reader_skimming%3Atrue
408,408,3585,A Two-Stage Approach towards Generalization in Knowledge Base Question Answering,Accept-Findings,Question Answering,"Srinivas Ravishankar, Dung Thai, Ibrahim Abdelaziz, Nandana Mihindukulasooriya, Tahira Naseem, Pavan Kapanipathi, Gaetano Rossiello and Achille Fokoue",IBM Research,Regular Long Paper,,b2a7b03a3c403b7c7d01a5f52dfdbd845323ab66,https://www.semanticscholar.org/reader/b2a7b03a3c403b7c7d01a5f52dfdbd845323ab66?experiments=&features=reader_skimming%3Atrue
410,410,3615,Data Cartography for Low-Resource Neural Machine Translation,Accept-Findings,Machine Translation,Aquia Richburg and Marine Carpuat,University of Maryland,Regular Long Paper,,f2e15f3f2c3d4f7e8cf8445435e40d65d828ffd5,https://www.semanticscholar.org/reader/f2e15f3f2c3d4f7e8cf8445435e40d65d828ffd5?experiments=&features=reader_skimming%3Atrue
411,411,3645,Augmenting Multi-Turn Text-to-SQL Datasets with Self-Play,Accept-Findings,"Syntax, Parsing and their Applications","Qi Liu, Zihuiwen Ye, Tao Yu, Linfeng Song and Phil Blunsom",University of Oxford,Regular Long Paper,,891db4adb6d10a51882430ab1266f51e6e3408c5,https://www.semanticscholar.org/reader/891db4adb6d10a51882430ab1266f51e6e3408c5?experiments=&features=reader_skimming%3Atrue
412,412,3647,Prompt Compression and Contrastive Conditioning for Controllability and Toxicity Reduction in Language Models,Accept-Findings,Ethic Concerns:Language Modeling and Analysis of Language Models,"David Wingate, Mohammad Shoeybi and Taylor Sorensen",Brigham Young University,Regular Long Paper,,4afda39036206dcb3f97829dccb897f1fc80f459,https://www.semanticscholar.org/reader/4afda39036206dcb3f97829dccb897f1fc80f459?experiments=&features=reader_skimming%3Atrue
413,413,3664,NaturalAdversaries: Can Naturalistic Adversaries Be as Effective as Artificial Adversaries?,Accept-Findings,Resources and Evaluation,"Saadia Gabriel, Hamid Palangi and Yejin Choi",University of Washington,Regular Short Paper,,337ad42b01d0ff764aa46a1ac9e3a93e2830e06c,https://www.semanticscholar.org/reader/337ad42b01d0ff764aa46a1ac9e3a93e2830e06c?experiments=&features=reader_skimming%3Atrue
415,415,3683,Unsupervised Learning of Hierarchical Conversation Structure,Accept-Findings,Dialogue and Interactive Systems,"Bo-Ru Lu, Yushi Hu, Hao Cheng, Noah A. Smith and Mari Ostendorf",University of Washington,Regular Long Paper,,42b3982331aa3dbd233d6c45bf34577223e2ecc9,https://www.semanticscholar.org/reader/42b3982331aa3dbd233d6c45bf34577223e2ecc9?experiments=&features=reader_skimming%3Atrue
416,416,3685,Task Compass: Scaling Multi-task Pre-training with Task Prefix,Accept-Findings,Language Modeling and Analysis of Language Models,"Zhuosheng Zhang, Shuohang Wang, Yichong Xu, Yuwei Fang, Wenhao Yu, Yang Liu, Hai Zhao, Chenguang Zhu and Michael Zeng",Shanghai Jiao Tong University,Regular Long Paper,,0979695b5d74016e97ab8f306f632114e98bd6d9,https://www.semanticscholar.org/reader/0979695b5d74016e97ab8f306f632114e98bd6d9?experiments=&features=reader_skimming%3Atrue
417,417,3688,Sharpness-Aware Minimization with Dynamic Reweighting,Accept-Findings,Machine Learning for NLP,"Wenxuan Zhou, Fangyu Liu, Huan Zhang and Muhao Chen",University of Southern California,Regular Long Paper,,9284038a5d2512653d7834d72f2ac353fd443d66,https://www.semanticscholar.org/reader/9284038a5d2512653d7834d72f2ac353fd443d66?experiments=&features=reader_skimming%3Atrue
418,418,3693,Predicting Long-Term Citations from Short-Term Linguistic Influence,Accept-Findings,Computational Social Science and Cultural Analytics,"Sandeep Soni, David Bamman and Jacob Eisenstein","University of California, Berkeley",Regular Long Paper,,6744b490c49db0945b5eb1aa7358097393d4c185,https://www.semanticscholar.org/reader/6744b490c49db0945b5eb1aa7358097393d4c185?experiments=&features=reader_skimming%3Atrue
419,419,3697,Joint Audio/Text Training for Transformer Rescorer of Streaming Speech Recognition,Accept-Findings,"Speech, Vision, Robotics, Multimodal Grounding","Suyoun Kim, Ke Li, Lucas Kabela, Ron Huang, Jiedan Zhu, Ozlem Kalinli and Duc Le",Meta,Regular Short Paper,,a6c80f38f085dcade0f28d262962c30c24b9c362,https://www.semanticscholar.org/reader/a6c80f38f085dcade0f28d262962c30c24b9c362?experiments=&features=reader_skimming%3Atrue
421,421,3714,Probing Cross-modal Semantics Alignment Capability from the Textual Perspective,Accept-Findings,"Interpretability, Interactivity and Analysis of Models for NLP","Zheng Ma, Shi Zong, Mianzhi Pan, Jianbing Zhang, Shujian Huang, Xinyu Dai and Jiajun CHEN",NanJing University,Regular Long Paper,,3171d9252ffae34a671c8c98f99fe99ead96e458,https://www.semanticscholar.org/reader/3171d9252ffae34a671c8c98f99fe99ead96e458?experiments=&features=reader_skimming%3Atrue
422,422,3715,Hidden State Variability of Pretrained Language Models Can Guide Computation Reduction for Transfer Learning,Accept-Findings,Language Modeling and Analysis of Language Models,"Shuo Xie, Jiahao Qiu, Ankita Pasad, Li Du, Qing Qu and Hongyuan Mei",University of Chicago,Regular Long Paper,,1c7ddec500b12a39040057758e3b972bd02c4758,https://www.semanticscholar.org/reader/1c7ddec500b12a39040057758e3b972bd02c4758?experiments=&features=reader_skimming%3Atrue
425,425,3748,Leveraging Open Data and Task Augmentation to Automated Behavioral Coding of Psychotherapy Conversations in Low-Resource Scenarios,Accept-Findings,"Linguistic Theories, Cognitive Modeling and Psycholinguistics","Zhuohao Chen, Nikolaos Flemotomos, Zac Imel, David Atkins and Shrikanth Narayanan",University of Southern California,Regular Short Paper,,9b76c99ae13e0b6d578e2302f27c083e41a18f7b,https://www.semanticscholar.org/reader/9b76c99ae13e0b6d578e2302f27c083e41a18f7b?experiments=&features=reader_skimming%3Atrue
427,427,3753,Keyphrase Generation Beyond the Boundaries of Title and Abstract,Accept-Findings,Information Extraction,"Krishna Garg, Jishnu Ray Chowdhury and Cornelia Caragea","University of Illinois, at Chicago",Regular Long Paper,,c2b11dfa7f94127893279df950756d3bedf7f599,https://www.semanticscholar.org/reader/c2b11dfa7f94127893279df950756d3bedf7f599?experiments=&features=reader_skimming%3Atrue
431,431,3785,Controlling Bias Exposure for Fair Interpretable Predictions,Accept-Findings,Ethics,"Zexue He, Yu Wang, Julian McAuley and Bodhisattwa Prasad Majumder","University of California, San Diego",Regular Long Paper,,6ee75df901a5b8f9e048402bb41cffdd1f6b178f,https://www.semanticscholar.org/reader/6ee75df901a5b8f9e048402bb41cffdd1f6b178f?experiments=&features=reader_skimming%3Atrue
432,432,3821,Investigating the Benefits of Free-Form Rationales,Accept-Findings,"Interpretability, Interactivity and Analysis of Models for NLP","Jiao Sun, Swabha Swayamdipta, Jonathan May and Xuezhe Ma",University of Southern California,Regular Long Paper,,a9c3677f3f82817c402ed06040067860785188f4,https://www.semanticscholar.org/reader/a9c3677f3f82817c402ed06040067860785188f4?experiments=&features=reader_skimming%3Atrue
441,441,3944,Exploring The Landscape of Distributional Robustness for Question Answering Models,Accept-Findings,"Interpretability, Interactivity and Analysis of Models for NLP","Anas Awadalla, Mitchell Wortsman, Gabriel Ilharco, Sewon Min, Ian Magnusson, Hannaneh Hajishirzi and Ludwig Schmidt",University of Washington,Regular Long Paper,,7cf4f8cb8b4a373d869e785b79160dda7a49a250,https://www.semanticscholar.org/reader/7cf4f8cb8b4a373d869e785b79160dda7a49a250?experiments=&features=reader_skimming%3Atrue
442,442,3945,Collaborative Reasoning on Multi-Modal Semantic Graphs for Video-Grounded Dialogue Generation,Accept-Findings,Dialogue and Interactive Systems,"Xueliang Zhao, Yuxuan Wang, Chongyang Tao, Chenshuo Wang and Dongyan Zhao",Peking University,Regular Long Paper,,256fd60c692ebe12fe2bbf65d46722f511aa3117,https://www.semanticscholar.org/reader/256fd60c692ebe12fe2bbf65d46722f511aa3117?experiments=&features=reader_skimming%3Atrue
446,446,3964,PcMSP: A Dataset for Scientific Action Graphs Extraction from Polycrystalline Materials Synthesis Procedure Text,Accept-Findings,Information Extraction,"Xianjun Yang, Ya Zhuo, Julia Zuo, Xinlu Zhang, Stephen Wilson and Linda Petzold","University of California, Santa Barbara",Regular Long Paper,,36790bd387ccc069d3c1a8986bb0cb166d056672,https://www.semanticscholar.org/reader/36790bd387ccc069d3c1a8986bb0cb166d056672?experiments=&features=reader_skimming%3Atrue
447,447,3965,Validity Assessment of Legal Will Statements as Natural Language Inference,Accept-Findings,Resources and Evaluation,"Alice Saebom Kwak, Jacob O. Israelsen, Clayton T. Morrison, Derek E. Bambauer and Mihai Surdeanu",University of Arizona,Regular Long Paper,,9e6d3cb1249f17a419b3b6140d30a9e1e4b8314d,https://www.semanticscholar.org/reader/9e6d3cb1249f17a419b3b6140d30a9e1e4b8314d?experiments=&features=reader_skimming%3Atrue
451,451,4014,Generative Aspect-Based Sentiment Analysis with Contrastive Learning and Expressive Structure,Accept-Findings,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",Joseph Peper and Lu Wang,University of Michigan,Regular Short Paper,,34c6b66ef95bb041795c13eb23b8af1c17d13975,https://www.semanticscholar.org/reader/34c6b66ef95bb041795c13eb23b8af1c17d13975?experiments=&features=reader_skimming%3Atrue
454,454,4072,Identifying Human Strategies for Generating Word-Level Adversarial Examples,Accept-Findings,"Interpretability, Interactivity and Analysis of Models for NLP","Maximilian Mozes, Bennett Kleinberg and Lewis Griffin",University College London,Regular Short Paper,,ec09a2233b8f42388875af500dd868ec91f8495e,https://www.semanticscholar.org/reader/ec09a2233b8f42388875af500dd868ec91f8495e?experiments=&features=reader_skimming%3Atrue
