,Unnamed: 0,Submission ID,Title,Acceptance Status,Track,Authors,Main Contact Affiliation,Submission Type,ARRLink,sha1,url
645,645,2298,Watch the Neighbors: A Unified K-Nearest Neighbor Contrastive Learning Framework for OOD Intent Discovery,Accept-Oral,Dialogue and Interactive Systems,"Yutao Mou, Keqing He, Pei Wang, Yanan Wu, Jingang Wang, Wei Wu and Weiran Xu",Beijing University of Posts and Telecommunications,Regular Long Paper,,f567ebbfac14034f8be570ed90164ddf531726e3,https://www.semanticscholar.org/reader/f567ebbfac14034f8be570ed90164ddf531726e3?experiments=&features=reader_skimming%3Atrue
647,647,2327,Do Vision-and-Language Transformers Learn Grounded Predicate-Noun Dependencies?,Accept-Oral,"Ethic Concerns:Speech, Vision, Robotics, Multimodal Grounding","Mitja Nikolaus, Emmanuelle Salin, Stephane Ayache, Abdellah Fourtassi and Benoit Favre",Aix-Marseille University,Regular Long Paper,,4c43063804ee1fac639c0b68e75745ccde0e5649,https://www.semanticscholar.org/reader/4c43063804ee1fac639c0b68e75745ccde0e5649?experiments=&features=reader_skimming%3Atrue
648,648,2361,A Multilingual Perspective Towards the Evaluation of Attribution Methods in Natural Language Inference,Accept-Oral,"Interpretability, Interactivity and Analysis of Models for NLP",Kerem Zaman and Yonatan Belinkov,Bogazici University,Regular Long Paper,,deb236200eacdc915f607f0c89971d1ddd6f26d5,https://www.semanticscholar.org/reader/deb236200eacdc915f607f0c89971d1ddd6f26d5?experiments=&features=reader_skimming%3Atrue
650,650,2430,SubeventWriter: Iterative Sub-event Sequence Generation with Coherence Controller,Accept-Oral,Natural Language Generation,"Zhaowei Wang, Hongming Zhang, Tianqing Fang, Yangqiu Song, Ginny Y. Wong and Simon See",HKUST,Regular Long Paper,,3d7dccc8fcc7dc26fea7a44df428e1c2b96c988f,https://www.semanticscholar.org/reader/3d7dccc8fcc7dc26fea7a44df428e1c2b96c988f?experiments=&features=reader_skimming%3Atrue
652,652,2490,Learning Instructions with Unlabeled Data for Zero-Shot Cross-Task Generalization,Accept-Oral,Unsupervised and Weakly-Supervised Methods in NLP,"Yuxian Gu, Pei Ke, Xiaoyan Zhu and Minlie Huang",Tsinghua University,Regular Long Paper,,82cd40e926300b6b18c34ced2edeb07e84d9d6c7,https://www.semanticscholar.org/reader/82cd40e926300b6b18c34ced2edeb07e84d9d6c7?experiments=&features=reader_skimming%3Atrue
655,655,2551,SpeechUT: Bridging Speech and Text with Hidden-Unit for Encoder-Decoder Based Speech-Text Pre-training,Accept-Oral,"Speech, Vision, Robotics, Multimodal Grounding","Ziqiang Zhang, Long Zhou, Junyi Ao, Shujie Liu, Lirong Dai, Jinyu Li and Furu Wei",University of Science and Technology of China,Regular Long Paper,,628fb0736c5484f7a0006d0bb2d4a7a2ef9ae6b3,https://www.semanticscholar.org/reader/628fb0736c5484f7a0006d0bb2d4a7a2ef9ae6b3?experiments=&features=reader_skimming%3Atrue
658,658,2692,Continual Learning of Neural Machine Translation within Low Forgetting Risk Regions,Accept-Oral,Machine Translation,"Shuhao Gu, Bojie Hu and Yang Feng","institute of Computing Technology, Chinese Academy of Sciences; University of Chinese Academy of Sciences",Regular Long Paper,,b6ea823efc131c8a061ccaab9df7ee9aec746c21,https://www.semanticscholar.org/reader/b6ea823efc131c8a061ccaab9df7ee9aec746c21?experiments=&features=reader_skimming%3Atrue
659,659,2741,COST-EFF: Collaborative Optimization of Spatial and Temporal Efficiency with Slenderized Multi-exit Language Models,Accept-Oral,Efficient Methods for NLP,"Bowen Shen, Zheng Lin, Yuanxin LIU, Zhengxiao Liu, Lei Wang and Weiping Wang","Institute of Information Engineering, Chinese Academy of Sciences",Regular Long Paper,,7d0cda80884e1408e50e07ecae8001883eaf52c7,https://www.semanticscholar.org/reader/7d0cda80884e1408e50e07ecae8001883eaf52c7?experiments=&features=reader_skimming%3Atrue
660,660,2794,Rescue Implicit and Long-tail Cases: Nearest Neighbor Relation Extraction,Accept-Oral,Information Extraction,"Zhen Wan, Qianying Liu, Zhuoyuan Mao, Fei Cheng, Sadao Kurohashi and Jiwei Li",Kyoto University,Regular Short Paper,,7ebcef65ea0e47df75f767fcf3255f06a4955c5e,https://www.semanticscholar.org/reader/7ebcef65ea0e47df75f767fcf3255f06a4955c5e?experiments=&features=reader_skimming%3Atrue
662,662,2807,Enhancing Self-Consistency and Performance of Pre-Trained Language Models through Natural Language Inference,Accept-Oral,Commonsense Reasoning,"Eric A. Mitchell, Joseph Noh, Siyan Li, Will Armstrong, Ananth Agarwal, Patrick Liu, Chelsea B. Finn and Christopher D. Manning",Stanford University,Regular Long Paper,,529e997e0d9730c25ad4347502da7e5a753274b8,https://www.semanticscholar.org/reader/529e997e0d9730c25ad4347502da7e5a753274b8?experiments=&features=reader_skimming%3Atrue
663,663,2827,Robustness of Demonstration-based Learning Under Limited Data Scenario,Accept-Oral,"Interpretability, Interactivity and Analysis of Models for NLP","Hongxin Zhang, Yanzhe Zhang, Ruiyi Zhang and Diyi Yang",Shanghai Jiao Tong University,Regular Long Paper,,9a523de464d0096a4f2f722ecda5ef11a42bc6eb,https://www.semanticscholar.org/reader/9a523de464d0096a4f2f722ecda5ef11a42bc6eb?experiments=&features=reader_skimming%3Atrue
